id,epic,title,priority,status,source
V1-ST-076,EPIC-13 — Foundation Acceleration / Selective OSS,Minimal Agentic Baseline:** IMPLEMENTED for comparison.,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-077,EPIC-14/15 Wave 7,Question metadata/purpose/applicability,P1,implemented-by-contract,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-078,EPIC-14/15 Wave 7,Stable 24-anchor score,P1,implemented-by-contract,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-079,EPIC-14/15 Wave 7,31-question high-yield starter path,P1,implemented-by-contract,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-080,EPIC-14/15 Wave 7,Adaptive follow-up selector,P1,implemented-by-contract,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-081,EPIC-14/15 Wave 7,Progress Engine,P1,implemented-by-contract,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-082,EPIC-14/15 Wave 7,Confidence Thermometer,P1,implemented-by-contract,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-083,EPIC-14/15 Wave 7,Structured information slots,P1,implemented-foundation,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-084,EPIC-14/15 Wave 7,Unknown/N.A./Deferred semantics,P1,implemented-by-contract,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-085,EPIC-14/15 Wave 7,Diagnostic resume/idempotent draft,P1,implemented-by-contract,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-086,EPIC-14/15 Wave 7,Sector/trait applicability calibration,P1,calibration-pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-087,EPIC-14/15 Wave 7,Versioned attestation model,P1,implemented-by-contract,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-088,EPIC-14/15 Wave 7,Auditable acceptance event,P1,implemented-by-contract,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-089,EPIC-14/15 Wave 7,Governed upload session,P1,implemented-foundation,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-090,EPIC-14/15 Wave 7,Copyright/confidentiality/IP warning,P1,draft-copy,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-091,EPIC-14/15 Wave 7,GENESIS responsibility disclaimer,P1,draft-copy,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-092,EPIC-14/15 Wave 7,Legal/privacy review,P0,p0-blocker,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-093,EPIC-14/15 Wave 7,Binary upload security pipeline,P0,p0-blocker,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-094,EPIC-16 Genesis Precision Light,Portable Design System package,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-095,EPIC-16 Genesis Precision Light,Route-aware contextual navigation,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-096,EPIC-16 Genesis Precision Light,Functional mobile drawer,P1,implemented-static-verified,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-097,EPIC-16 Genesis Precision Light,Executive Home redesign,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-098,EPIC-16 Genesis Precision Light,Focused Diagnostic redesign,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-099,EPIC-16 Genesis Precision Light,Interpretation-first Result redesign,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-100,EPIC-16 Genesis Precision Light,Accessibility/contrast static gate,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-101,EPIC-16 Genesis Precision Light,Browser visual/accessibility validation,P0,completed-local-critical-flows,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-102,EPIC-16 Genesis Precision Light,Visual regression baseline,P1,partial-local-baseline-full-suite-pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-103,EPIC-16 Genesis Precision Light,Remaining surface migration,P1,p1-after-canonical-approval,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-104,EPIC-17 Production Readiness & Repository,Bootstrap do novo repositório GitHub,P0,planned-production,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-105,EPIC-17 Production Readiness & Repository,Bootstrap limpo das migrations 0001→0023,P0,completed-local-runtime,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-106,EPIC-17 Production Readiness & Repository,Executar pgTAP tenancy/RBAC/governance completo,P0,completed-local-runtime,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-107,EPIC-17 Production Readiness & Repository,Full lint + TypeScript 6 + Vitest + Next build,P0,completed-local-runtime,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-108,EPIC-17 Production Readiness & Repository,E2E browser do happy path empresarial,P0,completed-local-runtime,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-109,EPIC-17 Production Readiness & Repository,E2E adversarial cross-tenant e permissions,P0,completed-local-runtime,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-110,EPIC-17 Production Readiness & Repository,Backup/restore/rollback drill,P0,completed-local-runtime-staging-pending,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-111,EPIC-17 Production Readiness & Repository,SBOM + license + dependency + secret/security scans,P0,partial-dependency-secret-sbom-license-pending,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-112,EPIC-17 Production Readiness & Repository,Observabilidade e correlation IDs ponta a ponta,P0,implemented-local-external-collector-pending,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-113,EPIC-17 Production Readiness & Repository,Configurar dev/staging/prod e promoção controlada,P0,implemented-local-remote-ci-pending,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-114,EPIC-18 Activation Decisions,Aprovar e ativar versão jurídica de Data Submission Attestation,P0,planned-production,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-115,EPIC-18 Activation Decisions,Implementar pipeline seguro de upload binário,P0,foundation-implemented-scanner-and-activation-pending,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-116,EPIC-18 Activation Decisions,Fechar metodologia de qualification e thresholds,P0,planned-production,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-117,EPIC-18 Activation Decisions,Fechar provider-plan eligibility,P0,planned-production,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-118,EPIC-18 Activation Decisions,Calibrar confidence engine com empresas piloto,P1,planned-production,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-119,EPIC-18 Activation Decisions,Calibrar applicability setorial/operating traits,P1,planned-production,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-120,EPIC-18 Activation Decisions,Executar spike Minimal vs Pydantic AI Slim,P1,planned-production,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-121,EPIC-18 Activation Decisions,Migrar superfícies restantes para Precision Light V2,P1,planned-production,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-122,EPIC-17 Production Readiness & Repository,Production Readiness Review e release candidate,P0,completed-local-review-production-blocked,docs/canonical/v1/delivery/STORIES_MASTER.md
V1-ST-123,EPIC-17 Production Readiness & Repository,Piloto controlado com rollout/rollback,P0,planned-production,docs/canonical/v1/delivery/STORIES_MASTER.md
